"Australian","15788"
"Australian Aboriginal","88"
"Chinese","3190"
"Croatian","1199"
"Dutch","723"
"English","13018"
"Filipino","674"
"French","198"
"German","1744"
"Greek","585"
"Hungarian","156"
"Indian","2091"
"Irish","4404"
"Italian","1705"
"Korean","491"
"Lebanese","121"
"Macedonian","240"
"Maltese","171"
"Maori","123"
"New Zealander","317"
"Polish","451"
"Russian","124"
"Scottish","3478"
"Serbian","262"
"Sinhalese","200"
"South African","265"
"Spanish","335"
"Turkish","52"
"Vietnamese","989"
"Welsh","294"
"Total persons(c)","47302"
